datetime,symbol,open,high,low,close,volume
2025-04-04 10:58:00,BINANCE:BTCUSDT,83036.47,83120.01,83036.46,83089.31,15.11795
2025-04-04 10:59:00,BINANCE:BTCUSDT,83089.31,83089.31,83060.68,83083.3,7.42557
2025-04-04 11:00:00,BINANCE:BTCUSDT,83083.29,83083.3,83058.0,83058.01,4.58033
2025-04-04 11:01:00,BINANCE:BTCUSDT,83058.01,83058.01,83040.92,83040.95,1.66607
2025-04-04 11:02:00,BINANCE:BTCUSDT,83040.94,83105.02,83040.94,83064.17,8.71076
2025-04-04 11:03:00,BINANCE:BTCUSDT,83064.17,83122.65,83054.01,83122.64,8.82785
2025-04-04 11:04:00,BINANCE:BTCUSDT,83122.64,83122.65,83103.07,83111.57,2.9437
2025-04-04 11:05:00,BINANCE:BTCUSDT,83111.57,83130.65,83092.06,83118.24,6.57828
2025-04-04 11:06:00,BINANCE:BTCUSDT,83118.24,83162.24,83105.66,83162.01,7.22729
2025-04-04 11:07:00,BINANCE:BTCUSDT,83162.01,83212.17,83143.76,83207.15,31.44821
2025-04-04 11:08:00,BINANCE:BTCUSDT,83207.16,83207.16,83182.67,83199.37,16.15511
2025-04-04 11:09:00,BINANCE:BTCUSDT,83199.38,83199.38,83180.49,83180.51,3.73096
2025-04-04 11:10:00,BINANCE:BTCUSDT,83180.5,83192.28,83164.01,83166.5,13.91771
2025-04-04 11:11:00,BINANCE:BTCUSDT,83166.49,83188.0,83165.52,83179.59,57.1242
2025-04-04 11:12:00,BINANCE:BTCUSDT,83179.58,83179.59,83167.0,83167.01,5.20818
2025-04-04 11:13:00,BINANCE:BTCUSDT,83167.0,83194.32,83167.0,83194.31,5.85998
2025-04-04 11:14:00,BINANCE:BTCUSDT,83194.31,83194.32,83183.39,83193.72,7.56311
2025-04-04 11:15:00,BINANCE:BTCUSDT,83193.71,83194.09,83179.13,83179.14,10.48196
2025-04-04 11:16:00,BINANCE:BTCUSDT,83179.13,83179.14,83152.7,83152.71,4.46477
2025-04-04 11:17:00,BINANCE:BTCUSDT,83152.71,83159.43,83149.51,83149.52,2.42016
2025-04-04 11:18:00,BINANCE:BTCUSDT,83149.51,83149.52,83126.0,83144.99,4.82728
2025-04-04 11:19:00,BINANCE:BTCUSDT,83145.0,83145.0,83130.26,83143.47,3.29639
2025-04-04 11:20:00,BINANCE:BTCUSDT,83143.47,83143.48,83128.0,83128.01,1.69386
2025-04-04 11:21:00,BINANCE:BTCUSDT,83128.01,83152.64,83128.01,83138.22,4.69959
